Files:		247525
Symbolic links:	118
Folders:	46855
The directory /home contains 294498 files
#The directory /home: number of files smaller than 2^k:
#k	number
1	40
2	115
3	482
4	593
5	1290
6	5293
7	9990
8	15658
9	15798
10	16594
11	17243
12	16657
13	12609
14	105453
15	20959
16	4171
17	1844
18	1185
19	698
20	313
21	312
22	108
23	38
24	41
25	27
26	4
27	4
28	2
29	2
30	2
31	0
32	0
